epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9547222256660461,9.999999747378752e-05,0.2425866425037384,0.9174814820289612,0.3642273247241974
1,0.9804629683494568,9.999999747378752e-05,0.1657794713973999,0.8325926065444946,0.6954483985900879
2,0.9865740537643433,9.999999747378752e-05,0.14233653247356415,0.979185163974762,0.1624884456396103
3,0.9893888831138611,9.999999747378752e-05,0.12323912978172302,0.9310370087623596,0.24647627770900726
4,0.9914629459381104,9.999999747378752e-05,0.10412147641181946,0.987407386302948,0.11087258905172348
5,0.9927963018417358,9.999999747378752e-05,0.08672033995389938,0.927481472492218,0.24370448291301727
6,0.9931666851043701,9.999999747378752e-05,0.07347211241722107,0.9851111173629761,0.08788985759019852
7,0.9941111207008362,9.999999747378752e-05,0.06028670072555542,0.9644444584846497,0.15537424385547638
8,0.9938889145851135,9.999999747378752e-05,0.05437381565570831,0.9499258995056152,0.17934787273406982
9,0.99485182762146,9.999999747378752e-05,0.044943928718566895,0.9770370125770569,0.09644023329019547
